# 62663 RisoSurf
Str_Ablauf_757 32564884.360 5778180.060 365 0.010000    0.250  % 65.913 9999.990 -9934.077 %  MU14N536 1 2350    19.252407    
Str_Ablauf_758 32564875.780 5778348.360 366 0.010000    0.250  % 66.564 9999.990 -9933.427 %  MU14N532 1 9955    17.830967    
Str_Ablauf_759 32564845.330 5778294.730 367 0.010000    0.250  % 65.616 9999.990 -9934.374 %  MU14N530 1 6297    13.424758    
Str_Ablauf_760 32565123.540 5778060.130 368 0.010000    0.250  % 72.031 9999.990 -9927.959 %  MU15S527 1 10782    28.361231    
Str_Ablauf_761 32565168.120 5778042.940 369 0.010000    0.250  % 73.463 9999.990 -9926.527 %  MU15S528 1 12512    23.704641    
Str_Ablauf_762 32565182.860 5778026.010 370 0.010000    0.250  % 74.405 9999.990 -9925.585 %  MU15S528 1 3107    23.413849    
Str_Ablauf_763 32565167.140 5778032.340 371 0.010000    0.250  % 73.841 9999.990 -9926.149 %  MU15S528 1 13551    29.676186    
Str_Ablauf_764 32565109.250 5778076.830 372 0.010000    0.250  % 71.896 9999.990 -9928.095 %  MU15S508 1 8913    28.787237    
Str_Ablauf_776 32565072.790 5777874.020 384 0.010000    0.250  % 68.086 9999.990 -9931.904 %  WE03N527 1 13659    29.259245    
Str_Ablauf_777 32565110.410 5777904.380 385 0.010000    0.250  % 69.909 9999.990 -9930.081 %  WE03N531 1 13049    24.853554    
Str_Ablauf_970 32565009.710 5778136.240 548 0.010000    0.250  % 69.232 9999.990 -9930.758 %  MU14S502 1 3550    21.632154    
Str_Ablauf_971 32564738.820 5778216.710 549 0.010000    0.250  % 62.586 9999.990 -9937.405 %  MU14N513 1 8476    25.804613    
Str_Ablauf_1111 32564658.910 5778217.240 681 0.010000    0.250  % 60.991 9999.990 -9938.999 %  MU14N508 1 8762    16.939777    
Str_Ablauf_1112 32564676.600 5778216.940 682 0.010000    0.250  % 61.284 9999.990 -9938.706 %  MU14N508 1 2104    20.238647    
Str_Ablauf_1113 32564868.110 5778402.920 683 0.010000    0.250  % 66.203 9999.990 -9933.787 %  MU14N534 1 6947    18.799784    
