1 -1 -1   0 -1 -1       -1 1 1
400 0 2   0 1 2       -1 -1 -1
3 1 -1   0 1 -1       -1 -1 1
402 2 4   0 1 2       -1 -1 -1
5 3 -1   0 1 -1       -1 -1 1
404 4 6   0 1 2       -1 -1 -1
7 5 -1   0 1 -1       -1 -1 1
406 6 8   0 1 2       -1 -1 -1
9 7 -1   0 1 -1       -1 -1 1
408 8 10   0 1 2       -1 -1 -1
11 9 -1   0 1 -1       -1 -1 1
410 10 12   0 1 2       -1 -1 -1
13 11 -1   0 1 -1       -1 -1 1
412 12 14   0 1 2       -1 -1 -1
15 13 -1   0 1 -1       -1 -1 1
414 14 16   0 1 2       -1 -1 -1
17 15 -1   0 1 -1       -1 -1 1
416 16 18   0 1 2       -1 -1 -1
19 17 -1   0 1 -1       -1 -1 1
418 18 20   0 1 2       -1 -1 -1
21 19 -1   0 1 -1       -1 -1 1
420 20 22   0 1 2       -1 -1 -1
23 21 -1   0 1 -1       -1 -1 1
422 22 24   0 1 2       -1 -1 -1
25 23 -1   0 1 -1       -1 -1 1
424 24 26   0 1 2       -1 -1 -1
27 25 -1   0 1 -1       -1 -1 1
426 26 28   0 1 2       -1 -1 -1
29 27 -1   0 1 -1       -1 -1 1
428 28 30   0 1 2       -1 -1 -1
31 29 -1   0 1 -1       -1 -1 1
430 30 32   0 1 2       -1 -1 -1
33 31 -1   0 1 -1       -1 -1 1
432 32 34   0 1 2       -1 -1 -1
35 33 -1   0 1 -1       -1 -1 1
434 34 36   0 1 2       -1 -1 -1
37 35 -1   0 1 -1       -1 -1 1
436 36 38   0 1 2       -1 -1 -1
39 37 -1   0 1 -1       -1 -1 1
438 38 40   0 1 2       -1 -1 -1
41 39 -1   0 1 -1       -1 -1 1
440 40 42   0 1 2       -1 -1 -1
43 41 -1   0 1 -1       -1 -1 1
442 42 44   0 1 2       -1 -1 -1
45 43 -1   0 1 -1       -1 -1 1
444 44 46   0 1 2       -1 -1 -1
47 45 -1   0 1 -1       -1 -1 1
446 46 48   0 1 2       -1 -1 -1
49 47 -1   0 1 -1       -1 -1 1
448 48 50   0 1 2       -1 -1 -1
51 49 -1   0 1 -1       -1 -1 1
450 50 52   0 1 2       -1 -1 -1
53 51 -1   0 1 -1       -1 -1 1
452 52 54   0 1 2       -1 -1 -1
55 53 -1   0 1 -1       -1 -1 1
454 54 56   0 1 2       -1 -1 -1
57 55 -1   0 1 -1       -1 -1 1
456 56 58   0 1 2       -1 -1 -1
59 57 -1   0 1 -1       -1 -1 1
458 58 60   0 1 2       -1 -1 -1
61 59 -1   0 1 -1       -1 -1 1
460 60 62   0 1 2       -1 -1 -1
63 61 -1   0 1 -1       -1 -1 1
462 62 64   0 1 2       -1 -1 -1
65 63 -1   0 1 -1       -1 -1 1
464 64 66   0 1 2       -1 -1 -1
67 65 -1   0 1 -1       -1 -1 1
466 66 68   0 1 2       -1 -1 -1
69 67 -1   0 1 -1       -1 -1 1
468 68 70   0 1 2       -1 -1 -1
71 69 -1   0 1 -1       -1 -1 1
470 70 72   0 1 2       -1 -1 -1
73 71 -1   0 1 -1       -1 -1 1
472 72 74   0 1 2       -1 -1 -1
75 73 -1   0 1 -1       -1 -1 1
474 74 76   0 1 2       -1 -1 -1
77 75 -1   0 1 -1       -1 -1 1
476 76 78   0 1 2       -1 -1 -1
79 77 -1   0 1 -1       -1 -1 1
478 78 80   0 1 2       -1 -1 -1
81 79 -1   0 1 -1       -1 -1 1
480 80 82   0 1 2       -1 -1 -1
83 81 -1   0 1 -1       -1 -1 1
482 82 84   0 1 2       -1 -1 -1
